Plant Name,Scientific Name,Image URL,Page URL
Japanese knotweed,Reynoutria japonica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/202702437530992640.jpeg,https://www.picturethisai.com/wiki/Reynoutria_japonica.html
Jerusalem artichoke,Helianthus tuberosus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/317743235346825216.jpeg,https://www.picturethisai.com/wiki/Helianthus_tuberosus.html
Kousa dogwood,Cornus kousa,,https://www.picturethisai.com/wiki/Cornus_kousa.html
Kentucky bluegrass,Poa pratensis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154159742233608208.jpeg,https://www.picturethisai.com/wiki/Poa_pratensis.html
Kikuyu grass,Cenchrus clandestinus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154197048319541266.jpeg,https://www.picturethisai.com/wiki/Cenchrus_clandestinus.html
Kentia palm,Howea forsteriana,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153998242873344037.jpeg,https://www.picturethisai.com/wiki/Howea_forsteriana.html
Lemon,Citrus limon,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201174112073252864.jpeg,https://www.picturethisai.com/wiki/Citrus_limon.html
Lambsquarters,Chenopodium album,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154100901181653029.jpeg,https://www.picturethisai.com/wiki/Chenopodium_album.html
Lucky bamboo,Dracaena sanderiana,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154061713900044317.jpeg,https://www.picturethisai.com/wiki/Dracaena_sanderiana.html
Large-leaved lime,Tilia platyphyllos,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154194733332168715.jpeg,https://www.picturethisai.com/wiki/Tilia_platyphyllos.html
Lady orchid,Orchis purpurea,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/221567072064012288.jpeg,https://www.picturethisai.com/wiki/Orchis_purpurea.html
Lemon balm,Melissa officinalis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154180800458260482.jpeg,https://www.picturethisai.com/wiki/Melissa_officinalis.html
Lesser burdock,Arctium minus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153965467977908248.jpeg,https://www.picturethisai.com/wiki/Arctium_minus.html
Lady's thumb,Persicaria maculosa,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153963333379162148.jpeg,https://www.picturethisai.com/wiki/Persicaria_maculosa.html
Loquat,Eriobotrya japonica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/317736071341375488.jpeg,https://www.picturethisai.com/wiki/Eriobotrya_japonica.html
Lindheimer's beeblossom,Oenothera lindheimeri,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153835742785699879.jpeg,https://www.picturethisai.com/wiki/Oenothera_lindheimeri.html
Madagascar dragon tree,Dracaena reflexa var. angustifolia,,https://www.picturethisai.com/wiki/Dracaena_reflexa_var._angustifolia.html
Mulberry,Morus alba,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154088810848714775.jpeg,https://www.picturethisai.com/wiki/Morus_alba.html
Money tree,Pachira glabra,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/347119866758987776.jpeg,https://www.picturethisai.com/wiki/Pachira_glabra.html
Madagascar periwinkle,Catharanthus roseus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/202698610715131904.jpeg,https://www.picturethisai.com/wiki/Catharanthus_roseus.html
Multiflora rose,Rosa multiflora,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153844023482646528.jpeg,https://www.picturethisai.com/wiki/Rosa_multiflora.html
Mango tree,Mangifera indica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/317750884683579392.jpeg,https://www.picturethisai.com/wiki/Mangifera_indica.html
Mandarin orange,Citrus reticulata,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153936137646243865.jpeg,https://www.picturethisai.com/wiki/Citrus_reticulata.html
Monstera obliqua,Monstera obliqua,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201219256474533888.jpeg,https://www.picturethisai.com/wiki/Monstera_obliqua.html
Mother of thousands,Kalanchoe daigremontiana,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154176350872141850.jpeg,https://www.picturethisai.com/wiki/Kalanchoe_daigremontiana.html
Maize,Zea mays,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153466251044192267.jpeg,https://www.picturethisai.com/wiki/Zea_mays.html
Norway maple,Acer platanoides,,https://www.picturethisai.com/wiki/Acer_platanoides.html
New guinea impatiens,Impatiens hawkeri,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154189261543833641.jpeg,https://www.picturethisai.com/wiki/Impatiens_hawkeri.html
